date,block,primary_type,description,location_description,arrest,domestic,fbi_code,year,longitude,latitude
2020-07-23 10:28:00 UTC,070XX W 63RD PL,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,false,false,06,2020,-87.797177436,41.7765434
2020-09-16 16:10:00 UTC,109XX S DOTY AVE W,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,06,2020,-87.596653142,41.695982095
2020-09-28 13:50:00 UTC,078XX S KENWOOD AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.591865668,41.752530825
2020-10-09 14:00:00 UTC,080XX S STONY ISLAND AVE,THEFT,OVER $500,OTHER (SPECIFY),false,false,06,2020,-87.585881934,41.748979348
2020-09-11 16:26:00 UTC,036XX S LAKE PARK AVE,THEFT,OVER $500,STREET,false,true,06,2020,-87.606892634,41.829389915
2020-05-27 13:30:00 UTC,025XX N NORMANDY AVE,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,06,2020,-87.792881805,41.926404101
2020-07-02 04:00:00 UTC,052XX N LIND AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.761951041,41.976662867
2020-09-06 09:20:00 UTC,053XX S KENNETH AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.734281839,41.796474571
2020-09-14 09:30:00 UTC,001XX W CERMAK RD,THEFT,OVER $500,CTA STATION,false,false,06,2020,-87.63091491,41.852868298
2020-09-20 01:59:00 UTC,100XX S WESTERN AVE,THEFT,OVER $500,TAVERN / LIQUOR STORE,false,false,06,2020,-87.681764188,41.711123447
2020-09-21 19:30:00 UTC,020XX W 32ND ST,THEFT,OVER $500,OTHER COMMERCIAL TRANSPORTATION,false,false,06,2020,-87.677110294,41.835817002
2020-07-01 23:00:00 UTC,050XX N LOCKWOOD AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.760148881,41.972164363
2020-08-10 06:00:00 UTC,116XX S AVENUE L,THEFT,OVER $500,STREET,false,false,06,2020,-87.536461094,41.684051563
2020-10-03 15:30:00 UTC,037XX S WELLS ST,THEFT,OVER $500,APARTMENT,false,false,06,2020,-87.632535927,41.826758313
2020-07-26 22:30:00 UTC,080XX S DORCHESTER AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.590562798,41.748877977
2020-08-24 00:01:00 UTC,132XX S AVENUE N,THEFT,OVER $500,STREET,false,false,06,2020,-87.538676449,41.654845216
2020-09-04 00:00:00 UTC,025XX N NORMANDY AVE,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,06,2020,-87.792881805,41.926404101
2020-10-02 11:15:00 UTC,021XX S ARCHER AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.63334444,41.853574683
2020-05-23 13:14:00 UTC,130XX S EVANS AVE,THEFT,OVER $500,CHA APARTMENT,false,true,06,2020,-87.603407012,41.65791184
2020-07-12 00:00:00 UTC,052XX N ORIOLE AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.816912061,41.975463341
2020-08-21 11:00:00 UTC,048XX N NORMANDY AVE,THEFT,OVER $500,RESIDENCE,false,false,06,2020,-87.794057586,41.96916458
2020-06-24 04:45:00 UTC,060XX N OCONTO AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.808315519,41.99093459
2020-09-07 15:00:00 UTC,042XX S ELLIS AVE,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,06,2020,-87.601873941,41.817719625
2020-08-17 17:00:00 UTC,056XX N CUMBERLAND AVE,THEFT,OVER $500,RESTAURANT,false,false,06,2020,-87.836580014,41.981579153
2020-09-06 04:50:00 UTC,056XX N CANFIELD AVE,THEFT,OVER $500,STREET,false,false,06,2020,-87.823679609,41.981818981
